team 2,team 1,Date MSK,WIN 2,WIN 1,Handicap 2,Coef. Handicap 2,Handicap 1,Coef. Handicap 1,Game points,< Game points,> Game points,Date Eastern
MEM,NOP,16 ноя 03:30,2.22,1.71,+2.0,1.96,-2.0,1.88,229.0,1.98,1.85,2022-11-15
LAC,DAL,16 ноя 04:30,3.55,1.39,+7.0,1.99,-7.0,2.0,212.0,1.96,2.03,2022-11-15
NYK,UTA,16 ноя 05:00,2.58,1.54,+4.0,1.95,-4.0,1.89,231.0,1.87,1.95,2022-11-15
BRK,SAC,16 ноя 06:00,2.12,1.77,+2.0,1.909,-2.0,1.93,225.0,1.909,1.909,2022-11-15
SAS,POR,16 ноя 06:00,3.66,1.31,+7.5,1.95,-7.5,1.89,224.5,1.89,1.93,2022-11-15
