team 2,team 1,Date MSK,WIN 2,WIN 1,Handicap 2,Coef. Handicap 2,Handicap 1,Coef. Handicap 1,Game points,< Game points,> Game points,Date Eastern
IND,CHO,17 ноя 03:00,2.22,1.71,+2.5,1.92,-2.5,1.92,232.5,1.95,1.87,2022-11-16
MIN,ORL,17 ноя 03:00,1.44,2.92,-5.5,1.89,+5.5,1.95,225.5,1.85,1.97,2022-11-16
OKC,WAS,17 ноя 03:00,2.58,1.54,+4.5,1.9,-4.5,1.94,226.0,1.99,1.84,2022-11-16
BOS,ATL,17 ноя 03:30,1.77,2.12,-1.5,1.88,+1.5,1.96,232.5,1.98,1.85,2022-11-16
MIA,TOR,17 ноя 03:30,1.82,2.05,-1.5,1.92,+1.5,1.92,215.0,1.909,1.909,2022-11-16
CLE,MIL,17 ноя 04:00,2.625,1.61,+4.0,2.0,-4.0,1.99,219.5,2.03,1.96,2022-11-16
CHI,NOP,17 ноя 04:00,2.43,1.6,+4.0,1.89,-4.0,1.95,224.5,1.92,1.9,2022-11-16
HOU,DAL,17 ноя 04:30,4.333,1.24,+9.0,1.94,-9.0,1.9,221.0,1.909,1.909,2022-11-16
GSW,PHO,17 ноя 06:00,2.19,1.83,+1.5,2.04,-1.5,1.952,226.5,2.04,1.95,2022-11-16
