team 2,team 1,Date MSK,WIN 2,WIN 1,Handicap 2,Coef. Handicap 2,Handicap 1,Coef. Handicap 1,Game points,< Game points,> Game points,Date Eastern
BRK,POR,18 ноя 06:00,2.27,1.78,+2.0,2.04,-2.0,1.95,220.0,2.07,1.92,2022-11-17
SAS,SAC,18 ноя 06:00,3.32,1.36,+7.0,1.94,-7.0,1.9,237.0,1.92,1.9,2022-11-17
DET,LAC,18 ноя 06:30,4.15,1.26,+9.5,1.86,-9.5,1.98,217.0,1.909,1.909,2022-11-17
