team 2,team 1,Date MSK,WIN 2,WIN 1,Handicap 2,Coef. Handicap 2,Handicap 1,Coef. Handicap 1,Game points,< Game points,> Game points,Date Eastern
ATL,CLE,22 ноя 03:00,2.19,1.727,+2.5,1.88,-2.5,1.96,224.5,1.909,1.909,2022-11-21
ORL,IND,22 ноя 03:00,3.15,1.39,+7.0,1.88,-7.0,1.96,226.5,1.909,1.909,2022-11-21
BOS,CHI,22 ноя 04:00,1.46,3.15,-6.5,2.0,+6.5,1.99,227.5,2.04,1.95,2022-11-21
NYK,OKC,22 ноя 04:00,2.3,1.66,+2.5,1.95,-2.5,1.89,231.5,1.833,1.99,2022-11-21
POR,MIL,22 ноя 04:00,3.74,1.3,+9.0,1.86,-9.0,1.98,215.0,1.93,1.89,2022-11-21
