team 2,team 1,Date MSK,WIN 2,WIN 1,Handicap 2,Coef. Handicap 2,Handicap 1,Coef. Handicap 1,Game points,< Game points,> Game points,Date Eastern
TOR,ATL,20 ноя 02:00,2.7,1.5,+5.5,1.92,-5.5,1.92,226.5,1.86,1.96,2022-11-19
ORL,IND,20 ноя 03:00,3.02,1.42,+6.0,1.99,-6.0,1.86,224.0,1.9,1.92,2022-11-19
MIN,PHI,20 ноя 03:30,1.666,2.49,-3.0,1.93,+3.0,2.06,217.5,2.05,1.94,2022-11-19
UTA,POR,20 ноя 06:00,2.53,1.56,+4.0,1.93,-4.0,1.909,228.0,1.87,1.95,2022-11-19
SAS,LAC,20 ноя 06:30,4.25,1.25,+8.5,1.99,-8.5,1.86,222.0,1.84,1.99,2022-11-19
