team 2,team 1,Date MSK,WIN 2,WIN 1,Handicap 2,Coef. Handicap 2,Handicap 1,Coef. Handicap 1,Game points,< Game points,> Game points,Date Eastern
BRK,PHI,23 ноя 03:30,1.35,3.84,-7.5,2.0,+7.5,1.99,217.5,2.0,1.99,2022-11-22
SAC,MEM,23 ноя 04:00,1.97,1.89,0,1.96,0,1.88,233.5,1.909,1.909,2022-11-22
DET,DEN,23 ноя 05:00,3.1,1.4,+6.0,1.92,-6.0,1.92,224.5,1.909,1.909,2022-11-22
LAL,PHO,23 ноя 06:00,3.44,1.34,+7.0,1.92,-7.0,1.92,227.5,1.909,1.909,2022-11-22
